"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.19773773774E+005, -1.50971143266E+002, +0.00000000000E+000
+1.21024024024E+005, -1.51520154931E+002, +0.00000000000E+000
+1.22274274274E+005, -1.52073496935E+002, +0.00000000000E+000
+1.23524524525E+005, -1.52574195846E+002, +0.00000000000E+000
+1.24774774775E+005, -1.53093096494E+002, +0.00000000000E+000
+1.26025025025E+005, -1.53601487757E+002, +0.00000000000E+000
+1.27275275275E+005, -1.54113288477E+002, +0.00000000000E+000
+1.28525525526E+005, -1.54661548020E+002, +0.00000000000E+000
+1.29775775776E+005, -1.55155208829E+002, +0.00000000000E+000
+1.31026026026E+005, -1.55634453233E+002, +0.00000000000E+000
+1.32276276276E+005, -1.56126278265E+002, +0.00000000000E+000
+1.33526526527E+005, -1.56646731018E+002, +0.00000000000E+000
+1.34776776777E+005, -1.57087144834E+002, +0.00000000000E+000
+1.36027027027E+005, -1.57512479446E+002, +0.00000000000E+000
+1.37277277277E+005, -1.57927555180E+002, +0.00000000000E+000
+1.38527527528E+005, -1.58418189438E+002, +0.00000000000E+000
+1.39777777778E+005, -1.58809973199E+002, +0.00000000000E+000
+1.41028028028E+005, -1.59253491878E+002, +0.00000000000E+000
+1.42278278278E+005, -1.59693307363E+002, +0.00000000000E+000
+1.43528528529E+005, -1.60142787814E+002, +0.00000000000E+000
+1.44778778779E+005, -1.60581802827E+002, +0.00000000000E+000
+1.46029029029E+005, -1.60998380472E+002, +0.00000000000E+000
+1.47279279279E+005, -1.61436758787E+002, +0.00000000000E+000
+1.48529529530E+005, -1.61826595323E+002, +0.00000000000E+000
+1.49779779780E+005, -1.62201549604E+002, +0.00000000000E+000
+1.51030030030E+005, -1.62640150654E+002, +0.00000000000E+000
+1.52280280280E+005, -1.63023030010E+002, +0.00000000000E+000
+1.53530530531E+005, -1.63338966985E+002, +0.00000000000E+000
+1.54780780781E+005, -1.63857498124E+002, +0.00000000000E+000
+1.56031031031E+005, -1.64179124324E+002, +0.00000000000E+000
+1.57281281281E+005, -1.64569255798E+002, +0.00000000000E+000
+1.58531531532E+005, -1.64955305611E+002, +0.00000000000E+000
+1.59781781782E+005, -1.65338533616E+002, +0.00000000000E+000
+1.61032032032E+005, -1.65705248528E+002, +0.00000000000E+000
+1.62282282282E+005, -1.66055388179E+002, +0.00000000000E+000
+1.63532532533E+005, -1.66469823973E+002, +0.00000000000E+000
+1.64782782783E+005, -1.66794314628E+002, +0.00000000000E+000
+1.66033033033E+005, -1.67158588343E+002, +0.00000000000E+000
+1.67283283283E+005, -1.67519418015E+002, +0.00000000000E+000
+1.68533533534E+005, -1.67866235941E+002, +0.00000000000E+000
+1.69783783784E+005, -1.68221761127E+002, +0.00000000000E+000
+1.71034034034E+005, -1.68575172276E+002, +0.00000000000E+000
+1.72284284284E+005, -1.68937393186E+002, +0.00000000000E+000
+1.73534534535E+005, -1.69246128746E+002, +0.00000000000E+000
+1.74784784785E+005, -1.69596669960E+002, +0.00000000000E+000
+1.76035035035E+005, -1.69905448774E+002, +0.00000000000E+000
+1.77285285285E+005, -1.70204710949E+002, +0.00000000000E+000
+1.78535535536E+005, -1.70567756748E+002, +0.00000000000E+000
+1.79785785786E+005, -1.70886221205E+002, +0.00000000000E+000
+1.81036036036E+005, -1.71200836168E+002, +0.00000000000E+000
+1.82286286286E+005, -1.71575102632E+002, +0.00000000000E+000
+1.83536536537E+005, -1.71839710950E+002, +0.00000000000E+000
+1.84786786787E+005, -1.72217051367E+002, +0.00000000000E+000
+1.86037037037E+005, -1.72497677824E+002, +0.00000000000E+000
+1.87287287287E+005, -1.72808356506E+002, +0.00000000000E+000
+1.88537537538E+005, -1.73124670281E+002, +0.00000000000E+000
+1.89787787788E+005, -1.73389921338E+002, +0.00000000000E+000
+1.91038038038E+005, -1.73733800795E+002, +0.00000000000E+000
+1.92288288288E+005, -1.74036546961E+002, +0.00000000000E+000
+1.93538538539E+005, -1.74283411549E+002, +0.00000000000E+000
+1.94788788789E+005, -1.74604945934E+002, +0.00000000000E+000
+1.96039039039E+005, -1.74894223081E+002, +0.00000000000E+000
+1.97289289289E+005, -1.75220419404E+002, +0.00000000000E+000
+1.98539539540E+005, -1.75513135824E+002, +0.00000000000E+000
+1.99789789790E+005, -1.75807638565E+002, +0.00000000000E+000
+2.01040040040E+005, -1.76079484981E+002, +0.00000000000E+000
+2.02290290290E+005, -1.76354580850E+002, +0.00000000000E+000
+2.03540540541E+005, -1.76654701677E+002, +0.00000000000E+000
+2.04790790791E+005, -1.76954729022E+002, +0.00000000000E+000
+2.06041041041E+005, -1.77222488514E+002, +0.00000000000E+000
+2.07291291291E+005, -1.77474851210E+002, +0.00000000000E+000
+2.08541541542E+005, -1.77776247861E+002, +0.00000000000E+000
+2.09791791792E+005, -1.78032815432E+002, +0.00000000000E+000
+2.11042042042E+005, -1.78321040476E+002, +0.00000000000E+000
+2.12292292292E+005, -1.78558042280E+002, +0.00000000000E+000
+2.13542542543E+005, -1.78833747159E+002, +0.00000000000E+000
+2.14792792793E+005, -1.79139128369E+002, +0.00000000000E+000
+2.16043043043E+005, -1.79364212936E+002, +0.00000000000E+000
+2.17293293293E+005, -1.79661897237E+002, +0.00000000000E+000
+2.18543543544E+005, -1.79906862777E+002, +0.00000000000E+000
+2.19793793794E+005, +1.79825862836E+002, +0.00000000000E+000
+2.21044044044E+005, +1.79550995114E+002, +0.00000000000E+000
+2.22294294294E+005, +1.79317740643E+002, +0.00000000000E+000
+2.23544544545E+005, +1.79041554268E+002, +0.00000000000E+000
+2.24794794795E+005, +1.78776013002E+002, +0.00000000000E+000
+2.26045045045E+005, +1.78546300259E+002, +0.00000000000E+000
+2.27295295295E+005, +1.78250114745E+002, +0.00000000000E+000
+2.28545545546E+005, +1.78009401132E+002, +0.00000000000E+000
+2.29795795796E+005, +1.77785739973E+002, +0.00000000000E+000
+2.31046046046E+005, +1.77549624108E+002, +0.00000000000E+000
+2.32296296296E+005, +1.77276671048E+002, +0.00000000000E+000
+2.33546546547E+005, +1.77028303418E+002, +0.00000000000E+000
+2.34796796797E+005, +1.76797142178E+002, +0.00000000000E+000
+2.36047047047E+005, +1.76545173323E+002, +0.00000000000E+000
+2.37297297297E+005, +1.76301186882E+002, +0.00000000000E+000
+2.38547547548E+005, +1.76053977505E+002, +0.00000000000E+000
+2.39797797798E+005, +1.75798717089E+002, +0.00000000000E+000
+2.41048048048E+005, +1.75565287361E+002, +0.00000000000E+000
+2.42298298298E+005, +1.75331147729E+002, +0.00000000000E+000
+2.43548548549E+005, +1.75090063046E+002, +0.00000000000E+000
+2.44798798799E+005, +1.74792767317E+002, +0.00000000000E+000
+2.46049049049E+005, +1.74668894569E+002, +0.00000000000E+000
+2.47299299299E+005, +1.74433203251E+002, +0.00000000000E+000
+2.48549549550E+005, +1.74135700995E+002, +0.00000000000E+000
+2.49799799800E+005, +1.73905842383E+002, +0.00000000000E+000
+2.51050050050E+005, +1.73615378704E+002, +0.00000000000E+000
+2.52300300300E+005, +1.73557665055E+002, +0.00000000000E+000
+2.53550550551E+005, +1.73274417618E+002, +0.00000000000E+000
+2.54800800801E+005, +1.73038407528E+002, +0.00000000000E+000
+2.56051051051E+005, +1.72798843977E+002, +0.00000000000E+000
+2.57301301301E+005, +1.72558164705E+002, +0.00000000000E+000
+2.58551551552E+005, +1.72336410834E+002, +0.00000000000E+000
+2.59801801802E+005, +1.72104397214E+002, +0.00000000000E+000
+2.61052052052E+005, +1.71864512101E+002, +0.00000000000E+000
+2.62302302302E+005, +1.71673009482E+002, +0.00000000000E+000
+2.63552552553E+005, +1.71438405572E+002, +0.00000000000E+000
+2.64802802803E+005, +1.71213919046E+002, +0.00000000000E+000
+2.66053053053E+005, +1.71007051971E+002, +0.00000000000E+000
+2.67303303303E+005, +1.70789226445E+002, +0.00000000000E+000
+2.68553553554E+005, +1.70557092164E+002, +0.00000000000E+000
+2.69803803804E+005, +1.70341336187E+002, +0.00000000000E+000
+2.71054054054E+005, +1.70139290421E+002, +0.00000000000E+000
+2.72304304304E+005, +1.69880547734E+002, +0.00000000000E+000
+2.73554554555E+005, +1.69678864448E+002, +0.00000000000E+000
+2.74804804805E+005, +1.69453356157E+002, +0.00000000000E+000
+2.76055055055E+005, +1.69239253315E+002, +0.00000000000E+000
+2.77305305305E+005, +1.69008983306E+002, +0.00000000000E+000
+2.78555555556E+005, +1.68815976764E+002, +0.00000000000E+000
