"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.19773773774E+005, +1.56305628863E+000, +0.00000000000E+000
+1.21024024024E+005, +1.51703622259E+000, +0.00000000000E+000
+1.22274274274E+005, +1.47368149307E+000, +0.00000000000E+000
+1.23524524525E+005, +1.42210986894E+000, +0.00000000000E+000
+1.24774774775E+005, +1.38382153707E+000, +0.00000000000E+000
+1.26025025025E+005, +1.32922139242E+000, +0.00000000000E+000
+1.27275275275E+005, +1.28539012594E+000, +0.00000000000E+000
+1.28525525526E+005, +1.24902948188E+000, +0.00000000000E+000
+1.29775775776E+005, +1.20073418503E+000, +0.00000000000E+000
+1.31026026026E+005, +1.15651433990E+000, +0.00000000000E+000
+1.32276276276E+005, +1.11387417391E+000, +0.00000000000E+000
+1.33526526527E+005, +1.07378416607E+000, +0.00000000000E+000
+1.34776776777E+005, +1.03142246968E+000, +0.00000000000E+000
+1.36027027027E+005, +9.91701317053E-001, +0.00000000000E+000
+1.37277277277E+005, +9.56227594701E-001, +0.00000000000E+000
+1.38527527528E+005, +9.12557308116E-001, +0.00000000000E+000
+1.39777777778E+005, +8.71903243780E-001, +0.00000000000E+000
+1.41028028028E+005, +8.32050820220E-001, +0.00000000000E+000
+1.42278278278E+005, +7.95558613785E-001, +0.00000000000E+000
+1.43528528529E+005, +7.54987635258E-001, +0.00000000000E+000
+1.44778778779E+005, +7.15163758322E-001, +0.00000000000E+000
+1.46029029029E+005, +6.80854214229E-001, +0.00000000000E+000
+1.47279279279E+005, +6.42591356028E-001, +0.00000000000E+000
+1.48529529530E+005, +6.06920829742E-001, +0.00000000000E+000
+1.49779779780E+005, +5.72171805450E-001, +0.00000000000E+000
+1.51030030030E+005, +5.40502135756E-001, +0.00000000000E+000
+1.52280280280E+005, +4.97008875509E-001, +0.00000000000E+000
+1.53530530531E+005, +4.65979123468E-001, +0.00000000000E+000
+1.54780780781E+005, +4.27722436607E-001, +0.00000000000E+000
+1.56031031031E+005, +3.94139432340E-001, +0.00000000000E+000
+1.57281281281E+005, +3.61967504699E-001, +0.00000000000E+000
+1.58531531532E+005, +3.28520506562E-001, +0.00000000000E+000
+1.59781781782E+005, +2.88540323358E-001, +0.00000000000E+000
+1.61032032032E+005, +2.52791282270E-001, +0.00000000000E+000
+1.62282282282E+005, +2.26755055404E-001, +0.00000000000E+000
+1.63532532533E+005, +1.94361104452E-001, +0.00000000000E+000
+1.64782782783E+005, +1.64276656689E-001, +0.00000000000E+000
+1.66033033033E+005, +1.27066383880E-001, +0.00000000000E+000
+1.67283283283E+005, +9.30610964921E-002, +0.00000000000E+000
+1.68533533534E+005, +6.45764830105E-002, +0.00000000000E+000
+1.69783783784E+005, +3.41408018720E-002, +0.00000000000E+000
+1.71034034034E+005, +2.04349104658E-003, +0.00000000000E+000
+1.72284284284E+005, -2.95459849283E-002, +0.00000000000E+000
+1.73534534535E+005, -6.21827126036E-002, +0.00000000000E+000
+1.74784784785E+005, -9.30379445829E-002, +0.00000000000E+000
+1.76035035035E+005, -1.19350320333E-001, +0.00000000000E+000
+1.77285285285E+005, -1.55986741184E-001, +0.00000000000E+000
+1.78535535536E+005, -1.82010166031E-001, +0.00000000000E+000
+1.79785785786E+005, -2.10432118690E-001, +0.00000000000E+000
+1.81036036036E+005, -2.46304251995E-001, +0.00000000000E+000
+1.82286286286E+005, -2.75863897983E-001, +0.00000000000E+000
+1.83536536537E+005, -3.06848384018E-001, +0.00000000000E+000
+1.84786786787E+005, -3.34372048965E-001, +0.00000000000E+000
+1.86037037037E+005, -3.62959585858E-001, +0.00000000000E+000
+1.87287287287E+005, -3.86340767048E-001, +0.00000000000E+000
+1.88537537538E+005, -4.17962077170E-001, +0.00000000000E+000
+1.89787787788E+005, -4.45733142835E-001, +0.00000000000E+000
+1.91038038038E+005, -4.75985283605E-001, +0.00000000000E+000
+1.92288288288E+005, -5.03929134375E-001, +0.00000000000E+000
+1.93538538539E+005, -5.32455758540E-001, +0.00000000000E+000
+1.94788788789E+005, -5.53967436399E-001, +0.00000000000E+000
+1.96039039039E+005, -5.84034834657E-001, +0.00000000000E+000
+1.97289289289E+005, -6.11362487326E-001, +0.00000000000E+000
+1.98539539540E+005, -6.38986794271E-001, +0.00000000000E+000
+1.99789789790E+005, -6.69382409647E-001, +0.00000000000E+000
+2.01040040040E+005, -6.86284151664E-001, +0.00000000000E+000
+2.02290290290E+005, -7.21770000534E-001, +0.00000000000E+000
+2.03540540541E+005, -7.51269635317E-001, +0.00000000000E+000
+2.04790790791E+005, -7.80736339874E-001, +0.00000000000E+000
+2.06041041041E+005, -8.00268383203E-001, +0.00000000000E+000
+2.07291291291E+005, -8.26337595863E-001, +0.00000000000E+000
+2.08541541542E+005, -8.54882687696E-001, +0.00000000000E+000
+2.09791791792E+005, -8.79835661691E-001, +0.00000000000E+000
+2.11042042042E+005, -9.00359467957E-001, +0.00000000000E+000
+2.12292292292E+005, -9.27762848193E-001, +0.00000000000E+000
+2.13542542543E+005, -9.50741330278E-001, +0.00000000000E+000
+2.14792792793E+005, -9.76900681783E-001, +0.00000000000E+000
+2.16043043043E+005, -1.00956981112E+000, +0.00000000000E+000
+2.17293293293E+005, -1.03116521105E+000, +0.00000000000E+000
+2.18543543544E+005, -1.05664468499E+000, +0.00000000000E+000
+2.19793793794E+005, -1.08451835975E+000, +0.00000000000E+000
+2.21044044044E+005, -1.10747864594E+000, +0.00000000000E+000
+2.22294294294E+005, -1.13268771553E+000, +0.00000000000E+000
+2.23544544545E+005, -1.15507794596E+000, +0.00000000000E+000
+2.24794794795E+005, -1.17598804773E+000, +0.00000000000E+000
+2.26045045045E+005, -1.20693880307E+000, +0.00000000000E+000
+2.27295295295E+005, -1.22641845646E+000, +0.00000000000E+000
+2.28545545546E+005, -1.25196222855E+000, +0.00000000000E+000
+2.29795795796E+005, -1.27209211886E+000, +0.00000000000E+000
+2.31046046046E+005, -1.30256390369E+000, +0.00000000000E+000
+2.32296296296E+005, -1.32637892998E+000, +0.00000000000E+000
+2.33546546547E+005, -1.35066341252E+000, +0.00000000000E+000
+2.34796796797E+005, -1.37774526812E+000, +0.00000000000E+000
+2.36047047047E+005, -1.40131799367E+000, +0.00000000000E+000
+2.37297297297E+005, -1.41986554124E+000, +0.00000000000E+000
+2.38547547548E+005, -1.44195535243E+000, +0.00000000000E+000
+2.39797797798E+005, -1.47173314082E+000, +0.00000000000E+000
+2.41048048048E+005, -1.49394432451E+000, +0.00000000000E+000
+2.42298298298E+005, -1.51067840108E+000, +0.00000000000E+000
+2.43548548549E+005, -1.53493394345E+000, +0.00000000000E+000
+2.44798798799E+005, -1.55875801236E+000, +0.00000000000E+000
+2.46049049049E+005, -1.58479141596E+000, +0.00000000000E+000
+2.47299299299E+005, -1.60550522714E+000, +0.00000000000E+000
+2.48549549550E+005, -1.61726433118E+000, +0.00000000000E+000
+2.49799799800E+005, -1.64765243624E+000, +0.00000000000E+000
+2.51050050050E+005, -1.68059523833E+000, +0.00000000000E+000
+2.52300300300E+005, -1.68957482351E+000, +0.00000000000E+000
+2.53550550551E+005, -1.71462525433E+000, +0.00000000000E+000
+2.54800800801E+005, -1.73219350318E+000, +0.00000000000E+000
+2.56051051051E+005, -1.75919710285E+000, +0.00000000000E+000
+2.57301301301E+005, -1.78380720380E+000, +0.00000000000E+000
+2.58551551552E+005, -1.80611762149E+000, +0.00000000000E+000
+2.59801801802E+005, -1.82698839919E+000, +0.00000000000E+000
+2.61052052052E+005, -1.85181195005E+000, +0.00000000000E+000
+2.62302302302E+005, -1.86275854054E+000, +0.00000000000E+000
+2.63552552553E+005, -1.89511965388E+000, +0.00000000000E+000
+2.64802802803E+005, -1.91853087324E+000, +0.00000000000E+000
+2.66053053053E+005, -1.93300749460E+000, +0.00000000000E+000
+2.67303303303E+005, -1.94789524247E+000, +0.00000000000E+000
+2.68553553554E+005, -1.98125758974E+000, +0.00000000000E+000
+2.69803803804E+005, -2.00548585258E+000, +0.00000000000E+000
+2.71054054054E+005, -2.02417636205E+000, +0.00000000000E+000
+2.72304304304E+005, -2.04110876542E+000, +0.00000000000E+000
+2.73554554555E+005, -2.06727135401E+000, +0.00000000000E+000
+2.74804804805E+005, -2.09353786020E+000, +0.00000000000E+000
+2.76055055055E+005, -2.10547125130E+000, +0.00000000000E+000
+2.77305305305E+005, -2.12875722265E+000, +0.00000000000E+000
+2.78555555556E+005, -2.14334064962E+000, +0.00000000000E+000
+2.79805805806E+005, -2.17774589181E+000, +0.00000000000E+000
+2.81056056056E+005, -2.19890957466E+000, +0.00000000000E+000
+2.82306306306E+005, -2.21152459217E+000, +0.00000000000E+000
+2.83556556557E+005, -2.23527834568E+000, +0.00000000000E+000
+2.84806806807E+005, -2.25036089479E+000, +0.00000000000E+000
+2.86057057057E+005, -2.27992164119E+000, +0.00000000000E+000
+2.87307307307E+005, -2.29870872744E+000, +0.00000000000E+000
+2.88557557558E+005, -2.31985027434E+000, +0.00000000000E+000
+2.89807807808E+005, -2.34004394599E+000, +0.00000000000E+000
+2.91058058058E+005, -2.35676595067E+000, +0.00000000000E+000
+2.92308308308E+005, -2.37118613875E+000, +0.00000000000E+000
+2.93558558559E+005, -2.40793098174E+000, +0.00000000000E+000
+2.94808808809E+005, -2.42322671802E+000, +0.00000000000E+000
+2.96059059059E+005, -2.44248007725E+000, +0.00000000000E+000
+2.97309309309E+005, -2.45941266536E+000, +0.00000000000E+000
+2.98559559560E+005, -2.48494949753E+000, +0.00000000000E+000
+2.99809809810E+005, -2.50351631508E+000, +0.00000000000E+000
+3.01060060060E+005, -2.52369910058E+000, +0.00000000000E+000
+3.02310310310E+005, -2.54684643436E+000, +0.00000000000E+000
+3.03560560561E+005, -2.55961466172E+000, +0.00000000000E+000
+3.04810810811E+005, -2.57925314746E+000, +0.00000000000E+000
+3.06061061061E+005, -2.60185481964E+000, +0.00000000000E+000
+3.07311311311E+005, -2.63203532709E+000, +0.00000000000E+000
+3.08561561562E+005, -2.63993757881E+000, +0.00000000000E+000
+3.09811811812E+005, -2.66060380500E+000, +0.00000000000E+000
+3.11062062062E+005, -2.68726175946E+000, +0.00000000000E+000
+3.12312312312E+005, -2.70444335019E+000, +0.00000000000E+000
+3.13562562563E+005, -2.72395206920E+000, +0.00000000000E+000
+3.14812812813E+005, -2.74524491737E+000, +0.00000000000E+000
+3.16063063063E+005, -2.76598761625E+000, +0.00000000000E+000
+3.17313313313E+005, -2.77880768910E+000, +0.00000000000E+000
+3.18563563564E+005, -2.79793437401E+000, +0.00000000000E+000
+3.19813813814E+005, -2.82346397247E+000, +0.00000000000E+000
+3.21064064064E+005, -2.84893412540E+000, +0.00000000000E+000
+3.22314314314E+005, -2.86040759253E+000, +0.00000000000E+000
+3.23564564565E+005, -2.87934114863E+000, +0.00000000000E+000
+3.24814814815E+005, -2.90111685765E+000, +0.00000000000E+000
+3.26065065065E+005, -2.92269933993E+000, +0.00000000000E+000
+3.27315315315E+005, -2.93747598297E+000, +0.00000000000E+000
+3.28565565566E+005, -2.95962092133E+000, +0.00000000000E+000
+3.29815815816E+005, -2.97966328772E+000, +0.00000000000E+000
+3.31066066066E+005, -2.99374331565E+000, +0.00000000000E+000
+3.32316316316E+005, -3.01824449586E+000, +0.00000000000E+000
+3.33566566567E+005, -3.03777912116E+000, +0.00000000000E+000
+3.34816816817E+005, -3.05757685396E+000, +0.00000000000E+000
+3.36067067067E+005, -3.07921441295E+000, +0.00000000000E+000
+3.37317317317E+005, -3.09542473845E+000, +0.00000000000E+000
+3.38567567568E+005, -3.11156939292E+000, +0.00000000000E+000
+3.39817817818E+005, -3.12641015265E+000, +0.00000000000E+000
+3.41068068068E+005, -3.15655429100E+000, +0.00000000000E+000
+3.42318318318E+005, -3.17464693133E+000, +0.00000000000E+000
+3.43568568569E+005, -3.19291188437E+000, +0.00000000000E+000
+3.44818818819E+005, -3.20435081803E+000, +0.00000000000E+000
+3.46069069069E+005, -3.22528011012E+000, +0.00000000000E+000
+3.47319319319E+005, -3.25345499933E+000, +0.00000000000E+000
+3.48569569570E+005, -3.26359651511E+000, +0.00000000000E+000
+3.49819819820E+005, -3.28506523507E+000, +0.00000000000E+000
+3.51070070070E+005, -3.30280032029E+000, +0.00000000000E+000
+3.52320320320E+005, -3.32523771480E+000, +0.00000000000E+000
+3.53570570571E+005, -3.33974773406E+000, +0.00000000000E+000
+3.54820820821E+005, -3.35942115054E+000, +0.00000000000E+000
+3.56071071071E+005, -3.38303166451E+000, +0.00000000000E+000
+3.57321321321E+005, -3.39498905259E+000, +0.00000000000E+000
+3.58571571572E+005, -3.41942889891E+000, +0.00000000000E+000
+3.59821821822E+005, -3.42987851152E+000, +0.00000000000E+000
+3.61072072072E+005, -3.45369135736E+000, +0.00000000000E+000
+3.62322322322E+005, -3.47118078740E+000, +0.00000000000E+000
+3.63572572573E+005, -3.49742055716E+000, +0.00000000000E+000
+3.64822822823E+005, -3.50722397672E+000, +0.00000000000E+000
+3.66073073073E+005, -3.53261336806E+000, +0.00000000000E+000
+3.67323323323E+005, -3.54857878228E+000, +0.00000000000E+000
+3.68573573574E+005, -3.56440278058E+000, +0.00000000000E+000
+3.69823823824E+005, -3.58844801227E+000, +0.00000000000E+000
+3.71074074074E+005, -3.60913243329E+000, +0.00000000000E+000
+3.72324324324E+005, -3.61949556954E+000, +0.00000000000E+000
+3.73574574575E+005, -3.63315573884E+000, +0.00000000000E+000
+3.74824824825E+005, -3.64920608097E+000, +0.00000000000E+000
+3.76075075075E+005, -3.67913259277E+000, +0.00000000000E+000
+3.77325325325E+005, -3.69249578059E+000, +0.00000000000E+000
+3.78575575576E+005, -3.70987310778E+000, +0.00000000000E+000
+3.79825825826E+005, -3.73128326781E+000, +0.00000000000E+000
+3.81076076076E+005, -3.74787349929E+000, +0.00000000000E+000
+3.82326326326E+005, -3.76757944839E+000, +0.00000000000E+000
+3.83576576577E+005, -3.78390547543E+000, +0.00000000000E+000
+3.84826826827E+005, -3.80014226801E+000, +0.00000000000E+000
+3.86077077077E+005, -3.82044106638E+000, +0.00000000000E+000
+3.87327327327E+005, -3.84881653172E+000, +0.00000000000E+000
+3.88577577578E+005, -3.86645408964E+000, +0.00000000000E+000
