degree,I1,I2,I3,I4,I5,I6
0.0,0.21889217864091443,-9.995360149332605e-9,0.006091172667388158,0.8466500204388886,0.17326766156602644,0.6868808047530152
1.0,0.22960408231536533,-9.995822435721865e-9,0.006851448777587728,0.9039633051727148,0.1943753993157563,0.7279559524731355
2.0,0.24177604462920363,-9.996270118959032e-9,0.007772291150508809,0.969120927897056,0.21837374048662114,0.774654765713201
3.0,0.2557234707636413,-9.996701442583156e-9,0.008900051400935053,1.043818018198047,0.24588739548775268,0.8281924202933876
4.0,0.27185957851003195,-9.997114594704928e-9,0.010303450235064827,1.1302754760330957,0.27773484067567566,0.8901609923359507
5.0,0.29073651224545255,-9.997507718902427e-9,0.012078989294380746,1.2314609428500949,0.3150097547986768,0.962687865090883
6.0,0.3131090699863843,-9.997878927025838e-9,0.014369757822074832,1.3514313832721214,0.3592072726734324,1.0486813069477587
7.0,0.3400368644979476,-9.998225904447416e-9,0.017414435782723867,1.4958824778848097,0.4124264611859079,1.1522242175529005
8.0,0.3730404840358749,-9.998547480317225e-9,0.021527914967339825,1.6729937482348076,0.47768242986677767,1.279173324757922
9.0,0.41444147671975773,-9.998841478208524e-9,0.027312404502240747,1.8952399637916755,0.5595720836513045,1.4384762729380807
10.0,0.46787949267089,-9.99910508020354e-9,0.03575023795581521,2.1821907938239367,0.6653072135814647,1.6441589078975154
11.0,0.5393875657802848,-9.999338419793555e-9,0.048908001687680065,2.56630797738994,0.8068483846452503,1.919476794554328
12.0,0.6400822264957559,-9.999538933542058e-9,0.07095017252546416,3.1073436196087716,1.006218297565126,2.3072679950766375
13.0,0.7923331654789864,-9.99970505073708e-9,0.1120888881209083,3.9255928102873336,1.3077489904796085,2.893752943331968
14.0,1.0478952448279362,-9.999823768459297e-9,0.19557065841796037,5.306497404713305,1.814763327380423,3.8791199331465527
15.0,0.5630286947349449,2.453756863477801,0.00794496272440994,0.30649739471389376,0.021433734919866304,0.4458713918636788
16.0,0.5281723826059077,2.3162191240108534,0.004915722348724546,0.25434930638641096,-9.999754917370503e-9,0.4000510447522521
17.0,0.5316609376957713,2.3371437199487417,0.005059314842208723,0.25301018417004106,-9.999761295035307e-9,0.4002901878492834
18.0,0.535237873247939,2.358559470839924,0.005205896181404046,0.25165123200569667,-9.9997675500159e-9,0.40055161658900873
19.0,0.53890499721357,2.380475778784136,0.005355695524852875,0.2502721823710141,-9.999773681316272e-9,0.40083588096265343
20.0,0.5426642115038207,2.4029025576998095,0.005508426064273663,0.24887274491129494,-9.999779688354504e-9,0.4011435507563662
21.0,0.5465175135344628,2.425850252688611,0.005664820044747407,0.24745260608022662,-9.999785570931894e-9,0.4014752155382018
22.0,0.5504670038561716,2.4493298666804346,0.0058243343865833136,0.24601142723402833,-9.999791329200725e-9,0.40183148665364193
23.0,0.5545148865327745,2.473352978515671,0.005987458015866671,0.2445488445911907,-9.999796963633388e-9,0.4022129968562825
24.0,0.5586634752982362,2.4979317680678625,0.006154402129299572,0.2430644677253809,-9.99980247499004e-9,0.4026204018435473
25.0,0.5629151974591234,2.5230790388541724,0.00632525017143685,0.24155787864648706,-9.999807864287877e-9,0.40305438106393665
26.0,0.567272597707675,2.5488082406952035,0.006500197963049304,0.24002863091628673,-9.999813132771275e-9,0.4035156385068256
27.0,0.5717383429510204,2.575133493928294,0.006679212207643353,0.23847624851635468,-9.999818281883109e-9,0.40400490383139004
28.0,0.5763152253703127,2.6020696115783295,0.006862829020174417,0.23690022518093443,-9.999823313237462e-9,0.4045229329313784
29.0,0.5810061691339989,2.629632126749672,0.007050778687611971,0.23530002280772513,-9.999828228594132e-9,0.4050705096867375
30.0,0.5858142323383128,2.6578373140268337,0.007243595910860338,0.23367507110215915,-9.999833029834499e-9,0.4056484461807138
31.0,0.5907426134984811,2.686702217470628,0.0074415335565904,0.23202476607070494,-9.99983771893946e-9,0.4062575843882832
32.0,0.5957946563391817,2.7162446769126634,0.007644610321736518,0.2303484689624125,-9.999842297969045e-9,0.40689879731652795
33.0,0.6009738536853321,2.746483353525455,0.007853289748975176,0.22864550545388107,-9.999846769043587e-9,0.40757298985915374
34.0,0.6062838539065535,2.7774377596869573,0.008067736517457218,0.22691516419490101,-9.999851134326995e-9,0.40828110046695637
35.0,0.6117284656005851,2.8091282870886074,0.008288248221460588,0.22515669581822792,-9.999855396011441e-9,0.4090241022513538
36.0,0.617311663408023,2.841576237271587,0.008515139937064382,0.22336931167372248,-9.999859556303506e-9,0.40980300444422885
37.0,0.6237833366565542,2.8748237615634906,0.00869440870581717,0.2199865164414276,-9.999864372925073e-9,0.40971673202145287
38.0,0.6295906302084892,2.908473450103221,0.00893053042628315,0.21815761403509512,-9.999868282043005e-9,0.410560667271365
39.0,0.6355479137532207,2.942941371325813,0.009173926962129982,0.21629754618088615,-9.999872098734542e-9,0.411443446339805
40.0,0.6416598597576412,2.978252656023295,0.00942496359200589,0.21440535845903763,-9.99987582513811e-9,0.4123662293999471
41.0,0.6479313363785862,3.014433503119789,0.009683964787800276,0.2124800508908357,-9.999879463350338e-9,0.4133302203601891
42.0,0.6543674145295859,3.051511218413825,0.009951353569935088,0.2105205764390721,-9.99988301542211e-9,0.4143366686507498
43.0,0.6609733757911616,3.089514256029694,0.010227514739708364,0.20852583931453952,-9.999886483354782e-9,0.41538687126113244
44.0,0.6677547203730922,3.1284722614142724,0.010512853417093666,0.20649469328687167,-9.999889869097591e-9,0.41648217477352667
45.0,0.6747171755007999,3.1684161165480886,0.010807846487872958,0.20442593990525934,-9.999893174545612e-9,0.41762397750767927
46.0,0.6818667045715947,3.2093779880569158,0.011112908228290364,0.2023183265415697,-9.999896401538323e-9,0.4188137318829458
47.0,0.6892095161793383,3.251391376816006,0.0114285931359897,0.20017054448645988,-9.999899551858758e-9,0.4200529467137829
48.0,0.6967527364222064,3.2944948748394887,0.011789084207207338,0.19798113934884284,-9.999902656370184e-9,0.4213434684749093
49.0,0.7045040128497856,3.3387292243817144,0.012128153053403158,0.19574853896501487,-9.999905658039707e-9,0.4226872911356842
50.0,0.7124688475238047,3.3841245432864366,0.012479470524440463,0.19347147351156438,-9.999908588041631e-9,0.42408549473537416
51.0,0.7206545388659231,3.4307202493407436,0.012843649833335552,0.19114838684736468,-9.999911447933967e-9,0.42553984201115097
52.0,0.7290686858957556,3.478557390251102,0.01322133214079393,0.18877765494849064,-9.99991423922016e-9,0.4270521663253329
53.0,0.7377188583107098,3.5276766949368965,0.013612246298049286,0.18635772590799604,-9.999916958573298e-9,0.42862437442008633
54.0,0.7466134262418594,3.5781248599166613,0.0140200862325501,0.18388665366507753,-9.999919619669547e-9,0.4302583152794467
55.0,0.7557610750285281,3.629949043714243,0.014442351102359488,0.1813625323872719,-9.99992221366361e-9,0.43195603609957617
56.0,0.7651708339316675,3.683196578292523,0.014880978830058378,0.17878353335652108,-9.999924744550321e-9,0.4337198341824703
57.0,0.7748520111738099,3.7379177675040065,0.015336807607131502,0.17614764897888932,-9.999927213582911e-9,0.435551948652859
58.0,0.7848143040199858,3.794165018803804,0.015810724885465106,0.1734527848653473,-9.999929621970315e-9,0.4374547118598416
59.0,0.7950678166268889,3.851992938575706,0.016303625814025533,0.17069675600159373,-9.999931970879264e-9,0.4394305539293985
60.0,0.8056230786703853,3.911458432428788,0.016816492371081994,0.16787728275639655,-9.999934261436414e-9,0.44148200749892363
61.0,0.8164910652851431,3.97262081172299,0.017350347150119943,0.1649919865955193,-9.999936494730523e-9,0.4436117127931336
62.0,0.8276832180070981,4.035541905961493,0.017906280200386024,0.1620383855816427,-9.999938671814624e-9,0.4458224229425621
